seed_model,setting,group,gain
0,static,Baseline,0.04500000000000004
0,static,C2-raw,-0.04999999999999993
0,static,C2-learned-affine,-0.010000000000000009
0,vn,Baseline,0.13
0,vn,C2-raw,-0.040000000000000036
0,vn,C2-learned-affine,0.125
1,static,Baseline,0.04499999999999993
1,static,C2-raw,-0.025000000000000022
1,static,C2-learned-affine,-0.020000000000000018
1,vn,Baseline,0.14500000000000002
1,vn,C2-raw,0.010000000000000009
1,vn,C2-learned-affine,-0.010000000000000009
2,static,Baseline,0.08499999999999996
2,static,C2-raw,0.07999999999999996
2,static,C2-learned-affine,0.05999999999999994
2,vn,Baseline,0.25
2,vn,C2-raw,0.19999999999999996
2,vn,C2-learned-affine,0.09999999999999998
3,static,Baseline,0.07499999999999996
3,static,C2-raw,-0.19
3,static,C2-learned-affine,0.020000000000000018
3,vn,Baseline,0.10499999999999998
3,vn,C2-raw,-0.09499999999999997
3,vn,C2-learned-affine,0.03500000000000003
4,static,Baseline,0.06500000000000006
4,static,C2-raw,-0.09999999999999998
4,static,C2-learned-affine,0.06999999999999995
4,vn,Baseline,0.135
4,vn,C2-raw,-0.08999999999999997
4,vn,C2-learned-affine,0.09999999999999998
5,static,Baseline,0.03500000000000003
5,static,C2-raw,-0.010000000000000009
5,static,C2-learned-affine,-0.010000000000000009
5,vn,Baseline,0.125
5,vn,C2-raw,0.09999999999999998
5,vn,C2-learned-affine,0.050000000000000044
6,static,Baseline,-0.015000000000000013
6,static,C2-raw,-0.05500000000000005
6,static,C2-learned-affine,-0.03500000000000003
6,vn,Baseline,0.125
6,vn,C2-raw,-0.12999999999999995
6,vn,C2-learned-affine,0.025000000000000022
7,static,Baseline,0.010000000000000009
7,static,C2-raw,-0.09999999999999998
7,static,C2-learned-affine,0.010000000000000009
7,vn,Baseline,0.04499999999999993
7,vn,C2-raw,-0.16500000000000004
7,vn,C2-learned-affine,-0.025000000000000022
8,static,Baseline,0.05500000000000005
8,static,C2-raw,-0.030000000000000027
8,static,C2-learned-affine,0.09499999999999997
8,vn,Baseline,0.21000000000000008
8,vn,C2-raw,-0.025000000000000022
8,vn,C2-learned-affine,0.19500000000000006
9,static,Baseline,0.015000000000000013
9,static,C2-raw,-0.10999999999999999
9,static,C2-learned-affine,-0.08499999999999996
9,vn,Baseline,0.125
9,vn,C2-raw,-0.06500000000000006
9,vn,C2-learned-affine,0.025000000000000022
