neuron_id,intelligence_importance,correction_importance
h1_0,-0.030000000000000027,0.0050000000000000044
h1_1,0.07999999999999996,0.030000000000000027
h1_2,-0.015000000000000013,0.0
h1_3,0.010000000000000009,0.015000000000000013
h1_4,0.025000000000000022,0.0050000000000000044
h1_5,0.08999999999999997,0.020000000000000018
h1_6,0.05999999999999994,0.0
h1_7,0.11499999999999999,0.025000000000000022
h1_8,0.030000000000000027,0.025000000000000022
h1_9,0.015000000000000013,-0.03500000000000003
h2_0,0.030000000000000027,-0.010000000000000009
h2_1,0.125,0.040000000000000036
h2_2,0.07999999999999996,0.06000000000000005
h2_3,0.05499999999999994,0.0050000000000001155
h2_4,0.039999999999999925,-0.009999999999999898
h2_5,0.125,0.010000000000000009
h2_6,-0.025000000000000022,0.03500000000000003
h2_7,-0.015000000000000013,0.015000000000000013
h2_8,-0.0050000000000000044,0.0
h2_9,0.10499999999999998,0.040000000000000036
