seed,baseline_acc_t1,baseline_acc_t3,baseline_gain,d_acc_t1,d_acc_t3,d_gain,dp_acc_t1,dp_acc_t3,dp_gain,dpp_acc_t1,dpp_acc_t3,dpp_gain
0,0.795,0.865,0.06999999999999995,0.83,0.75,-0.07999999999999996,0.845,0.835,-0.010000000000000009,0.445,0.405,-0.03999999999999998
1,0.76,0.94,0.17999999999999994,0.855,0.805,-0.04999999999999993,0.88,0.83,-0.050000000000000044,0.605,0.62,0.015000000000000013
2,0.66,0.895,0.235,0.79,0.745,-0.04500000000000004,0.805,0.8,-0.0050000000000000044,0.665,0.67,0.0050000000000000044
3,0.665,0.755,0.08999999999999997,0.71,0.7,-0.010000000000000009,0.83,0.82,-0.010000000000000009,0.645,0.66,0.015000000000000013
4,0.715,0.885,0.17000000000000004,0.83,0.835,0.0050000000000000044,0.87,0.885,0.015000000000000013,0.625,0.665,0.040000000000000036
5,0.665,0.85,0.18499999999999994,0.655,0.76,0.10499999999999998,0.79,0.835,0.04499999999999993,0.705,0.765,0.06000000000000005
6,0.56,0.7,0.1399999999999999,0.595,0.595,0.0,0.75,0.815,0.06499999999999995,0.52,0.54,0.020000000000000018
7,0.725,0.85,0.125,0.71,0.695,-0.015000000000000013,0.785,0.77,-0.015000000000000013,0.585,0.56,-0.02499999999999991
8,0.605,0.74,0.135,0.74,0.71,-0.030000000000000027,0.83,0.81,-0.019999999999999907,0.565,0.52,-0.04499999999999993
9,0.705,0.88,0.17500000000000004,0.695,0.705,0.010000000000000009,0.81,0.795,-0.015000000000000013,0.475,0.53,0.05500000000000005
